A-0,DNI,DEPORTE,FECHA_ALQUILER,HORA_INICIO,HORA_FIN,FECHA,HORA,PRECIO
A-1,72263015,BASKET,25/1/2023,15:00,18:00,23/01/23,23:43:23,60
A-2,78965412,BASKET,23/1/2023,9:00,12:00,23/01/23,23:45:38,60
A-3,72263015,BASKET,25/1/2023,15:00,18:00,23/01/23,23:51:49,60
A-4,72263015,FUTSAL,15/7/2023,12:00,14:00,09/07/23,20:21:46,60
A-5,78945612,VOLEY,13/12/2023,9:00,12:00,09/07/23,20:23:31,60
A-6,78945632,BASKET,17/8/2023,10:00,13:00,16/08/23,07:38:28,60
A-7,753629565,VOLEY,18/8/2023,10:00,14:00,16/08/23,12:45:58,80
A-8,78965412,BASKET,24/8/2023,10:00,13:00,16/08/23,13:55:50,60
A-9,121234567,BASKET,23/8/2023,9:00,12:00,16/08/23,13:56:06,60
A-10,78569456,BASKET,17/8/2023,9:00,12:00,16/08/23,15:20:04,60
