E-0,DNI,DEPORTE,FECHA,HORA,PRECIO
E-1,74125896,PISTA ATLETICA,23/01/23,23:46:05,3
E-2,72263015,NATACION,23/01/23,23:49:25,5
E-3,74125896,NATACION,24/01/23,15:39:22,5
E-4,72263015,NATACION,09/07/23,20:20:59,5
E-5,78542663,NATACION,16/07/23,15:58:15,5
E-6,25725424,BASKET,16/07/23,15:58:35,1
E-7,72263015,BASKET,16/08/23,07:38:18,1
E-8,72263015,BASKET,16/08/23,12:44:56,1
E-9,78945678,VOLEY,16/08/23,13:55:31,1
E-10,72263015,BASKET,16/08/23,13:59:22,1
E-11,12345678,BASKET,16/08/23,14:23:33,1
E-12,74125896,NATACION,16/08/23,15:19:29,5
E-13,78945612,BASKET,16/08/23,15:26:44,1
E-14,78945612,NATACION,16/08/23,15:27:33,5
